sentence,answer,span1,span2
The sound of a classical piece typically has a [MASK] pitch than a single note from an analog synthesizer.,lower,sound of a classical piece,single note from an analog synthesizer
The sound of a rhythmic pattern has a [MASK] pitch than a melodic synth lead.,lower,sound of a rhythmic pattern,melodic synth lead
The sound of subway singers typically has a [MASK] pitch than a bell tone.,lower,sound of subway singers,bell tone
The sound of a marimba notification typically has a [MASK] pitch than a processed TR909 ride.,higher,sound of a marimba notification,processed TR909 ride
The sound of a brass intro typically has a [MASK] pitch than a dark intro piece composed from samples of bowed glass material.,higher,sound of a brass intro,dark intro piece composed from samples of bowed glass material
The sound of a dance music loop typically has a [MASK] pitch than a lo-fi techno music.,higher,sound of a dance music loop,lo-fi techno music
A very heavy kick typically has a [MASK] pitch than a strange dance.,lower,very heavy kick,strange dance
The sound of a toy piano typically has a [MASK] pitch than a low-frequency dull hit.,higher,sound of a toy piano,low-frequency dull hit
The sound of a triangle in an FM synth typically has a [MASK] pitch than the metallic sound of an ambient sound effect.,higher,sound of a triangle in an FM synth,metallic sound of an ambient sound effect
The sound of a snare drum typically has a [MASK] pitch than a vibraslap.,higher,sound of a snare drum,vibraslap
The sound of a kids program theme song typically has a [MASK] pitch than a spooky synth chord.,higher,sound of a kids program theme song,spooky synth chord
The sound of Indian percussion typically has a [MASK] pitch than a brass fanfare.,lower,Indian percussion,brass fanfare
The sound of a beatbox typically has a [MASK] pitch than an experimental mix of various sounds.,higher,sound of a beatbox,experimental mix of various sounds
The sound of drums typically has a [MASK] pitch than an FM7 program keyboard.,lower,sound of drums,FM7 program keyboard
The sound of a synthesizer typically has a [MASK] pitch than an electronic percussive sound.,higher,sound of a synthesizer,electronic percussive sound
The sound of a guitar being hit has a [MASK] pitch than an instrumental chord.,lower,sound of a guitar being hit,instrumental chord
The sound of a large pane of mirror glass being drummed on typically has a [MASK] pitch than a bass clarinet.,higher,sound of a large pane of mirror glass being drummed on,bass clarinet
The sound of a twangy chirpy thing typically has a [MASK] pitch than the sound of an analog synthesizer.,higher,sound of a twangy chirpy thing,analog synthesizer
The sound of a piano typically has a [MASK] pitch than the sound of an orchestra.,lower,sound of a piano,sound of an orchestra
The sound of a cowbell typically has a [MASK] pitch than night club music.,higher,sound of a cowbell,night club music
The sound of a water drop typically has a [MASK] pitch than an electronic music clip.,lower,sound of a water drop,electronic music clip
The sound of a haunted AM radio has a [MASK] pitch than a musical score.,lower,sound of a haunted AM radio,musical score
The sound of a horn typically has a [MASK] pitch than a synthesizer.,lower,sound of a horn,synthesizer
The sound of a 140 BPM FX Dubstep Chopper Twist typically has a [MASK] pitch than the sound of eurorack analog modular synth.,higher,140 BPM FX Dubstep Chopper Twist,eurorack analog modular synth
The sound of a double bass typically has a [MASK] pitch than a dubstep bass effect.,higher,sound of a double bass,dubstep bass effect
The sound of the ending of a song typically has a [MASK] pitch than the ringing of a carillon.,lower,ending of a song,ringing of a carillon
The sound of a guitar typically has a [MASK] pitch than the robotic bleeps created by a modular synthesizer.,lower,sound of a guitar,robotic bleeps created by a modular synthesizer
Pink noise trigger typically has a [MASK] pitch than syncopated rhythm.,lower,pink noise trigger,syncopated rhythm
The sound of a Jew's harp typically has a [MASK] pitch than a techno song.,higher,sound of a Jew's harp,techno song
The sound of church chanting typically has a [MASK] pitch than the eerie sound of a sci-fi horror synthesizer.,higher,church chanting,eerie sound of a sci-fi horror synthesizer
The sound of a traditional Turkish song has a [MASK] pitch than electronic drums.,higher,sound of a traditional Turkish song,electronic drums
The sound of a hoover noise typically has a [MASK] pitch than a rhythm loop made with a kanjira and djembe.,higher,hoover noise,rhythm loop made with a kanjira and djembe
The sound of a piano typically has a [MASK] pitch than a falling sound in space.,higher,sound of a piano,falling sound in space
The sound of a drum rim typically has a [MASK] pitch than a music loop.,lower,sound of a drum rim,music loop
The sound of a 17th century drum typically has a [MASK] pitch than a minimal attack percussion.,lower,17th century drum,minimal attack percussion
The sound of synthetic percussion typically has a [MASK] pitch than electronic hum/buzz noises.,higher,sound of synthetic percussion,electronic hum/buzz noises
The sound of a sonar typically has a [MASK] pitch than a house music loop.,lower,sound of a sonar,house music loop
The sound of a sine wave typically has a [MASK] pitch than a music box.,lower,sound of a sine wave,music box
The sound of a viola typically has a [MASK] pitch than a piano playing the note D sharp.,lower,sound of a viola,piano playing the note D sharp
The sound of electronic ringing and wavering tones typically has a [MASK] pitch than an Alto Saxophone.,higher,sound of electronic ringing and wavering tones,Alto Saxophone
The sound of a stinger typically has a [MASK] pitch than a synthesized string ensemble.,higher,sound of a stinger,synthesized string ensemble
The sound of a bass groove typically has a [MASK] pitch than a bell loop.,lower,sound of a bass groove,bell loop
The sound of a Plucky Synth typically has a [MASK] pitch than the sound of molecular trance-loop2 146bpm.,higher,Plucky Synth,molecular trance-loop2 146bpm
The sound of a piano typically has a [MASK] pitch than a crash cymbal.,higher,sound of a piano,crash cymbal
An electronic high-pitched sweep sound has a [MASK] pitch than 80s synth music.,higher,electronic high-pitched sweep sound,80s synth music
The sound of a laser from a synthesizer typically has a [MASK] pitch than a drum roll.,higher,sound of a laser from a synthesizer,drum roll
The sound of a bell in a trap loop typically has a [MASK] pitch than a basic 4/4 beat.,higher,sound of a bell in a trap loop,basic 4/4 beat
The sound of a TB-303 synth typically has a [MASK] pitch than a synthetic pluck.,lower,sound of a TB-303 synth,synthetic pluck
The sound of drums has a [MASK] pitch than 8-bit video game music.,lower,sound of drums,8-bit video game music
The sound of a synthesizer typically has a [MASK] pitch than a bass sample.,higher,sound of a synthesizer,bass sample
The sound of a guitar playing an A major chord typically has a [MASK] pitch than an old school rave stab loop.,lower,sound of a guitar playing an A major chord,old school rave stab loop
The sound of a circuit bent drum machine typically has a [MASK] pitch than a heavy bass drone.,higher,sound of a circuit bent drum machine,heavy bass drone
The sound of an electric guitar typically has a [MASK] pitch than a nautical soundtrack.,higher,sound of an electric guitar,nautical soundtrack
The sound of a drum loop typically has a [MASK] pitch than a kick in Frenchcore.,higher,sound of a drum loop,kick in Frenchcore
The sound of a shaker typically has a [MASK] pitch than a distorted low-brass electronic sound.,higher,sound of a shaker,distorted low-brass electronic sound
The sound of a trumpet typically has a [MASK] pitch than the soundtrack of a space emergency.,higher,sound of a trumpet,soundtrack of a space emergency
The sound of a 120 bpm looptool for electro/house/techno production typically has a [MASK] pitch than the sound of a guitar feedback drone.,higher,sound of a 120 bpm looptool for electro/house/techno production,guitar feedback drone
The sound of a Mridangam typically has a [MASK] pitch than the sound of a rhythmic loop created in Reason.,lower,sound of a Mridangam,sound of a rhythmic loop created in Reason
The sound of a waltz drum-loop typically has a [MASK] pitch than a garage drum pattern.,higher,sound of a waltz drum-loop,garage drum pattern
The sound of a desk being slapped has a [MASK] pitch than a saxophone being played.,lower,sound of a desk being slapped,saxophone being played
The sound of a human voice typically has a [MASK] pitch than a viola.,higher,sound of a human voice,viola
The sound of a bassoon typically has a [MASK] pitch than an arcade game sound.,lower,sound of a bassoon,arcade game sound
The sound of a jaw harp typically has a [MASK] pitch than a vintage lofi synth.,higher,sound of a jaw harp,vintage lofi synth
The sound of a jazz groove typically has a [MASK] pitch than a slowed and pitch-shifted music remix.,higher,sound of a jazz groove,slowed and pitch-shifted music remix
The sound of a drum typically has a [MASK] pitch than a synth.,lower,sound of a drum,synth
The sound of a bright atmosphere typically has a [MASK] pitch than a jazzy choir.,higher,sound of a bright atmosphere,jazzy choir
The sound of a sewing machine typically has a [MASK] pitch than a snare drum.,lower,sound of a sewing machine,snare drum
The sound of a piano typically has a [MASK] pitch than a Shepard-Risset glissando.,lower,sound of a piano,Shepard-Risset glissando
The sound of a drum loop typically has a [MASK] pitch than a Native American style flute.,lower,sound of a drum loop,Native American style flute
The sound of an African woodwind instrument typically has a [MASK] pitch than the music in a Greek taverna.,lower,sound of an African woodwind instrument,music in a Greek taverna
The sound of cymbals typically has a [MASK] pitch than a digital synthesizer.,lower,sound of cymbals,digital synthesizer
The sound of a piano typically has a [MASK] pitch than a drum loop.,higher,sound of a piano,drum loop
The sound of whistling typically has a [MASK] pitch than a guitar.,higher,sound of whistling,guitar
The sound of plucking guitar strings above the neck typically has a [MASK] pitch than a kick drum from a modular synthesizer.,higher,sound of plucking guitar strings above the neck,kick drum from a modular synthesizer
The sound of a flute typically has a [MASK] pitch than a heavily distorted bass.,higher,sound of a flute,heavily distorted bass
The sound of a distorted electric bass has a [MASK] pitch than a mysterious and suspenseful soundtrack.,lower,sound of a distorted electric bass,mysterious and suspenseful soundtrack
The sound of a whistle hit typically has a [MASK] pitch than a piano note.,higher,whistle hit,piano note
The sound of a processed music effect typically has a [MASK] pitch than a beatbox hi-hat.,higher,processed music effect,beatbox hi-hat
The sound of a wooden spoon typically has a [MASK] pitch than a C Minor Chords Musical Soundscape.,lower,sound of a wooden spoon,C Minor Chords Musical Soundscape
The sound of a drum typically has a [MASK] pitch than the sound of a synthesizer.,lower,sound of a drum,sound of a synthesizer
The sound of a downward synth sweep typically has a [MASK] pitch than a low big room kick.,higher,downward synth sweep,low big room kick
The sound of a vibraslaps typically has a [MASK] pitch than a KORG Gadget electronic sound.,lower,sound of a vibraslaps,KORG Gadget electronic sound
The sound of a flute typically has a [MASK] pitch than a vocal.,higher,sound of a flute,vocal
The sound of a steel drum typically has a [MASK] pitch than an analog synthesizer.,higher,sound of a steel drum,analog synthesizer
The sound of a plucked harp typically has a [MASK] pitch than an ambient beat.,higher,sound of a plucked harp,ambient beat
A sci-fi space style sound typically has a [MASK] pitch than a song created on Audacity.,lower,sci-fi space style sound,song created on Audacity
The sound of a synth loop typically has a [MASK] pitch than an upright bass.,higher,sound of a synth loop,upright bass
The sound of a child singing a lullaby typically has a [MASK] pitch than a loop of glitched vocal and percussion.,lower,sound of a child singing a lullaby,loop of glitched vocal and percussion
The sound of a steel bell typically has a [MASK] pitch than the sound of a cinematic soundtrack.,higher,sound of a steel bell,sound of a cinematic soundtrack
The sound of a brass instrument typically has a [MASK] pitch than hand claps of a gospel choir.,higher,sound of a brass instrument,hand claps of a gospel choir
The sound of an egg shaker typically has a [MASK] pitch than a synth sub bass.,higher,sound of an egg shaker,synth sub bass
The sound of an alto saxophone typically has a [MASK] pitch than a broken keyboard.,higher,sound of an alto saxophone,broken keyboard
The sound of a synthesizer typically has a [MASK] pitch than a male choir.,higher,sound of a synthesizer,male choir
The sound of a bell created by FM synthesis typically has a [MASK] pitch than a quick zip jingle component.,higher,sound of a bell created by FM synthesis,quick zip jingle component
The sound of a chord sweep typically has a [MASK] pitch than an echo vocal.,lower,chord sweep,echo vocal
The sound of a metallic drum typically has a [MASK] pitch than a synthetic singing bowl.,lower,sound of a metallic drum,synthetic singing bowl
The sound of a guitar typically has a [MASK] pitch than the sound of a Ghanta.,higher,sound of a guitar,sound of a Ghanta
The sound of a deep dark drone has a [MASK] pitch than the sound of a rain stick.,lower,sound of a deep dark drone,sound of a rain stick
The sound of a Mogalyn sequencer typically has a [MASK] pitch than a 135 BPM drum loop.,higher,sound of a Mogalyn sequencer,135 BPM drum loop
The sound of a cyberpunk bass typically has a [MASK] pitch than a dark instrumental.,lower,sound of a cyberpunk bass,dark instrumental
The sound of a flute typically has a [MASK] pitch than the sound of an analog synthesizer.,higher,sound of a flute,analog synthesizer
The sound of Ralph Vaughn Williams' Six Studies in English Folk Song III typically has a [MASK] pitch than a loop created with the Waldorf Attack VST Drum Synth.,higher,sound of Ralph Vaughn Williams' Six Studies in English Folk Song III,loop created with the Waldorf Attack VST Drum Synth
The sound of a dramatic movie score has a [MASK] pitch than the sound of a kick drum.,higher,sound of a dramatic movie score,sound of a kick drum
The sound of a piano typically has a [MASK] pitch than the sound of a blues-rock band.,higher,sound of a piano,sound of a blues-rock band
The sound of a sine bell typically has a [MASK] pitch than a custom-made synthesizer.,lower,sound of a sine bell,custom-made synthesizer
The sound of a piano in an ensemble typically has a [MASK] pitch than an experimental atmospheric sound.,higher,sound of a piano in an ensemble,experimental atmospheric sound
The sound of a bird's song has a [MASK] pitch than the music in a TV show intro.,higher,sound of a bird's song,music in a TV show intro
The sound of a hat typically has a [MASK] pitch than the sound of an agogo bell.,lower,sound of a hat,agogo bell
The sound of a synthesized digital sound effect typically has a [MASK] pitch than the sound of wooden wind chimes.,lower,sound of a synthesized digital sound effect,sound of wooden wind chimes
The sound of classic 90s video-game music typically has a [MASK] pitch than smooth jazz piano music.,higher,classic 90s video-game music,smooth jazz piano music
The sound of a sample & hold effect typically has a [MASK] pitch than the sound of a violin.,lower,sample & hold effect,violin
The sound of a distorted heavy metal riff typically has a [MASK] pitch than an ambient synthesizer piece.,lower,sound of a distorted heavy metal riff,ambient synthesizer piece
The sound of a guitar loudspeaker typically has a [MASK] pitch than a percussion loop.,higher,sound of a guitar loudspeaker,percussion loop
The sound of a women's choir typically has a [MASK] pitch than a single note from an analog synthesizer.,higher,sound of a women's choir,single note from an analog synthesizer
The sound of a Japanese erhu typically has a [MASK] pitch than a viola section playing pizzicato.,higher,sound of a Japanese erhu,viola section playing pizzicato
The sound of a lo-fi music remix typically has a [MASK] pitch than a hip hop drum loop.,lower,lo-fi music remix,hip hop drum loop
The sound of a Toca bamboo didgeridoo typically has a [MASK] pitch than a synthesised waveform of half-saw and half-sine waves.,lower,sound of a Toca bamboo didgeridoo,synthesised waveform of half-saw and half-sine waves
The sound of a glass harp has a [MASK] pitch than the sound of a standup bass.,higher,sound of a glass harp,standup bass
The sound of a toy play-clock has a [MASK] pitch than electronic claves.,higher,sound of a toy play-clock,electronic claves
The sound of a vibraphone has a [MASK] pitch than the sound of an old-skool drum beat.,higher,sound of a vibraphone,old-skool drum beat
The sound of a drum typically has a [MASK] pitch than a synth.,lower,sound of a drum,synth
"The sound of a modulated noise from a MicroKorg typically has a [MASK] pitch than distant metallic, almost scraping-metal noise.",higher,sound of a modulated noise from a MicroKorg,distant metallic almost scraping-metal noise
The sound of a hi-hat cymbal typically has a [MASK] pitch than a drum beat.,higher,sound of a hi-hat cymbal,drum beat
An industrial and mechanical loop typically has a [MASK] pitch than a synth loop for Hip Hop.,lower,industrial and mechanical loop,synth loop for Hip Hop
The sound of a music loop typically has a [MASK] pitch than an organ-like sound.,higher,sound of a music loop,organ-like sound
A dark hoover sound effect typically has a [MASK] pitch than orchestral music.,lower,dark hoover sound effect,orchestral music
The sound of a vibraphone typically has a [MASK] pitch than a chord beat.,higher,sound of a vibraphone,chord beat
The sound of an electric bass typically has a [MASK] pitch than a hardstepper piano.,lower,sound of an electric bass,hardstepper piano
The sound of a whistle typically has a [MASK] pitch than the sound of a guitar with a wah-wah pedal.,higher,sound of a whistle,guitar with a wah-wah pedal
The sound of a bassoon typically has a [MASK] pitch than a snare drum.,higher,sound of a bassoon,snare drum
The sound of a piano typically has a [MASK] pitch than a Korg synthesizer noise.,lower,sound of a piano,Korg synthesizer noise
The sound of a woman singing typically has a [MASK] pitch than the sound of a nose flute being played.,lower,sound of a woman singing,nose flute being played
The sound of angelus evening bells typically has a [MASK] pitch than a cinematic chase music.,higher,sound of angelus evening bells,cinematic chase music
The sound of a solo guitar typically has a [MASK] pitch than an analog synthesizer.,higher,solo guitar,analog synthesizer
The sound of drums in a street march typically has a [MASK] pitch than the ambient cinematic texture.,higher,sound of drums in a street march,ambient cinematic texture
The sound of monks chanting in a cathedral typically has a [MASK] pitch than the rhythm on a drum.,higher,sound of monks chanting in a cathedral,rhythm on a drum
The sound of a button press typically has a [MASK] pitch than a bowed bouzouki.,higher,sound of a button press,bowed bouzouki
The sound of a distorted floor tom typically has a [MASK] pitch than a hip-hop drum beat.,lower,sound of a distorted floor tom,hip-hop drum beat
An orchestral drama has a [MASK] pitch than meditation background sound.,higher,orchestral drama,meditation background sound
The sound of a Hardstyle lead typically has a [MASK] pitch than a slow African drum.,higher,sound of a Hardstyle lead,slow African drum
The sound of a cello typically has a [MASK] pitch than a melody made with a synth operator.,lower,sound of a cello,melody made with a synth operator
The sound of Indian tabla typically has a [MASK] pitch than French folk dance music.,lower,Indian tabla,French folk dance music
An atonal lick on alto sax has a [MASK] pitch than a recording of a jaws harp.,higher,atonal lick on alto sax,recording of a jaws harp
The sound of electronic music typically has a [MASK] pitch than the sound of bagpipes.,lower,sound of electronic music,sound of bagpipes
The sound of a string instrument typically has a [MASK] pitch than a synth drone.,higher,sound of a string instrument,synth drone
The sound of an electric guitar typically has a [MASK] pitch than a harp.,lower,sound of an electric guitar,harp
The sound of a 140 bpm warble pattern (dubstep) typically has a [MASK] pitch than a simple pad mix.,higher,140 bpm warble pattern (dubstep),simple pad mix
The sound of a funk music typically has a [MASK] pitch than a synth-loop.,lower,sound of a funk music,synth-loop
The sound of a synthesized trumpet typically has a [MASK] pitch than a trombone.,higher,sound of a synthesized trumpet,trombone
The sound of a digital synth typically has a [MASK] pitch than a wind chime.,lower,digital synth,wind chime
The sound of a ride cymbal typically has a [MASK] pitch than a dissonant chord.,lower,sound of a ride cymbal,dissonant chord
The sound of a glass bowl typically has a [MASK] pitch than a Jew's harp.,higher,sound of a glass bowl,Jew's harp
The sound of Goa psytrance synth typically has a [MASK] pitch than the sound of a baseball stadium cavalry sting.,higher,sound of Goa psytrance synth,sound of a baseball stadium cavalry sting
The sound of a DnB drum loop typically has a [MASK] pitch than a kick noise.,higher,sound of a DnB drum loop,kick noise
The sound of a classic psy squelch typically has a [MASK] pitch than a drum loop.,higher,sound of a classic psy squelch,drum loop
The sound of a saxophone typically has a [MASK] pitch than a xaphoon.,higher,sound of a saxophone,xaphoon
The sound of a Surdo typically has a [MASK] pitch than an experimental electric guitar track.,lower,sound of a Surdo,experimental electric guitar track
The sound of a drum machine typically has a [MASK] pitch than an arpeggiator.,lower,sound of a drum machine,arpeggiator
The sound of a synthesizer typically has a [MASK] pitch than a Spanish style guitar.,higher,sound of a synthesizer,Spanish style guitar
The sound of a Baschet instrument typically has a [MASK] pitch than a hip hop drum machine loop.,higher,sound of a Baschet instrument,hip hop drum machine loop
The sound of a G Chord Orchestral typically has a [MASK] pitch than an electronic music loop.,higher,G Chord Orchestral,electronic music loop
The sound of ice typically has a [MASK] pitch than a cha-cha drum loop.,higher,sound of ice,cha-cha drum loop
The sound of a snare drum at 140bpm typically has a [MASK] pitch than an alien soundtrack.,higher,sound of a snare drum at 140bpm,alien soundtrack
The sound of a synthesizer typically has a [MASK] pitch than a drone.,higher,sound of a synthesizer,drone
The sound of a piano typically has a [MASK] pitch than the sound of a double bass.,higher,sound of a piano,double bass
The sound of a string instrument typically has a [MASK] pitch than a noise.,higher,sound of a string instrument,noise
The sound of a stereo click track typically has a [MASK] pitch than a guitar sound effect.,higher,stereo click track,guitar sound effect
The sound of a piano typically has a [MASK] pitch than a tension string.,higher,sound of a piano,tension string
The sound of a Naobo typically has a [MASK] pitch than a homemade drum loop.,higher,sound of a Naobo,homemade drum loop
The sound of a piece of spooky music typically has a [MASK] pitch than a dubstep beat loop.,higher,sound of a piece of spooky music,dubstep beat loop
The sound of a snare drum typically has a [MASK] pitch than a clown horn.,higher,snare drum,clown horn
The sound of a die in a game typically has a [MASK] pitch than the sound of claves.,lower,sound of a die in a game,sound of claves
The sound of a synthesized snare drum typically has a [MASK] pitch than the sound created by Ableton's Electric instrument plugin.,lower,sound of a synthesized snare drum,sound created by Ableton's Electric instrument plugin
The sound of a digital distortion typically has a [MASK] pitch than a disappointing end of a cartoon scene.,higher,digital distortion,disappointing end of a cartoon scene
The sound of house music typically has a [MASK] pitch than the sound of an electro crash.,higher,sound of house music,electro crash
The sound of a metallic can hit has a [MASK] pitch than an electronic organ pad.,higher,sound of a metallic can hit,electronic organ pad
The sound of a synthesizer typically has a [MASK] pitch than a percussive beat.,higher,sound of a synthesizer,percussive beat
The sound of an alto sax typically has a [MASK] pitch than the startup sound of a Yamaha RM1x groovebox.,higher,sound of an alto sax,startup sound of a Yamaha RM1x groovebox
The sound of a guitar typically has a [MASK] pitch than the sound of an orchestra.,lower,sound of a guitar,sound of an orchestra
The sound of a 'Drop it- my god' loop typically has a [MASK] pitch than the sound of a sand shaker.,higher,sound of a 'Drop it- my god' loop,sound of a sand shaker
The sound of a compressor in a sound design class typically has a [MASK] pitch than an Indian percussion fill.,lower,sound of a compressor,Indian percussion fill
The sound of Tibetan Silver Bells has a [MASK] pitch than a processed voice loop.,higher,sound of Tibetan Silver Bells,processed voice loop
The sound of a gong typically has a [MASK] pitch than digital silence.,higher,sound of a gong,digital silence
The sound of a Casio synthesizer typically has a [MASK] pitch than a mixed bass.,higher,sound of a Casio synthesizer,mixed bass
The sound of a video game music loop typically has a [MASK] pitch than the sound of an analog percussion instrument.,higher,video game music loop,analog percussion instrument
The sound of a human voice typically has a [MASK] pitch than a hardstyle song.,lower,sound of a human voice,hardstyle song
The sound of a bass drum typically has a [MASK] pitch than a hi-hat.,lower,sound of a bass drum,hi-hat
The sound of Wah Waves typically has a [MASK] pitch than the sound of a snare drum.,higher,sound of Wah Waves,sound of a snare drum
An orchestral hero theme typically has a [MASK] pitch than an EDM tom drum loop.,higher,orchestral hero theme,EDM tom drum loop
The sound of a djenbe drum typically has a [MASK] pitch than the sound of chimes.,lower,sound of a djenbe drum,sound of chimes
The sound of a fanfare typically has a [MASK] pitch than an orchestral sound.,higher,sound of a fanfare,orchestral sound
The sound of a piano in electro-tango music typically has a [MASK] pitch than the distorted kick in hardstyle music.,higher,sound of a piano in electro-tango music,distorted kick in hardstyle music
The sound of church bell chimes has a [MASK] pitch than a person singing 'Silent Night.',higher,sound of church bell chimes,person singing 'Silent Night'
The sound of a piano string being plucked typically has a [MASK] pitch than the sound of a homemade Fujara played through a bass synth pedal.,higher,sound of a piano string being plucked,homemade Fujara played through a bass synth pedal
The sound of a mooing guitar typically has a [MASK] pitch than a circuit bent beat.,higher,sound of a mooing guitar,circuit bent beat
The sound of action cinematic music typically has a [MASK] pitch than the sound of castanets.,lower,action cinematic music,castanets
The sound of a bell typically has a [MASK] pitch than a small kettle gong.,higher,sound of a bell,small kettle gong
The sound of drumloops typically has a [MASK] pitch than a synthesized fanfare.,lower,sound of drumloops,synthesized fanfare
The sound of a marching band typically has a [MASK] pitch than a computer boot-up sound.,lower,sound of a marching band,computer boot-up sound
The sound of a dark dubstep bassline typically has a [MASK] pitch than the sound of a spoon smacking a pan.,lower,dark dubstep bassline,sound of a spoon smacking a pan
The sound of a F Horn typically has a [MASK] pitch than a PadBell.,lower,sound of a F Horn,PadBell
The sound of a processed loop typically has a [MASK] pitch than a drum loop.,lower,processed loop,drum loop
The sound of a drummer in a Paris subway typically has a [MASK] pitch than a continuous record skip of a guitar.,lower,sound of a drummer in a Paris subway,continuous record skip of a guitar
The sound of a synthesizer typically has a [MASK] pitch than the sound of a guitar string slide noise.,higher,sound of a synthesizer,guitar string slide noise
The sound of a circuit bent stylophone typically has a [MASK] pitch than a kick drum.,higher,circuit bent stylophone,kick drum
The sound of a synthesizer typically has a [MASK] pitch than an oriental stringed instrument.,lower,sound of a synthesizer,oriental stringed instrument
The sound of a cello/violin spiccato ostinato typically has a [MASK] pitch than Egyptian orchestra music.,higher,sound of a cello/violin spiccato ostinato,Egyptian orchestra music
The sound of glass on glass typically has a [MASK] pitch than the sound of a guitar producing synthetic bird tweets.,higher,sound of glass on glass,sound of a guitar producing synthetic bird tweets
The sound of a keytar typically has a [MASK] pitch than an acoustic drum.,higher,sound of a keytar,acoustic drum
Background music with a guitar typically has a [MASK] pitch than the sound of an old trombone.,higher,background music with a guitar,sound of an old trombone
The sound of subtractive synthesis typically has a [MASK] pitch than a mystery and thriller soundtrack.,higher,sound of subtractive synthesis,mystery and thriller soundtrack
The sound of a human voice typically has a [MASK] pitch than an organ.,higher,sound of a human voice,organ
An electronic snare drum typically has a [MASK] pitch than an abstract musical composition.,higher,electronic snare drum,abstract musical composition
The sound of a pitched-up 'huh' vocal sample typically has a [MASK] pitch than the sound of a jazz ensemble.,higher,sound of a pitched-up 'huh' vocal sample,sound of a jazz ensemble
The sound of heartbeating bass has a [MASK] pitch than the sound of a Korg Electribe 2 drone.,higher,heartbeating bass,Korg Electribe 2 drone
The sound of a bass in 'Zombie Boogie' typically has a [MASK] pitch than the tune 'Possibilities.',lower,sound of a bass in 'Zombie Boogie',tune 'Possibilities'
"An evolving, mysterious drone typically has a [MASK] pitch than an 808 kick drum loop.",higher,evolving mysterious drone,808 kick drum loop
The sound of a hip hop loop typically has a [MASK] pitch than a 133 BpmBreaks loop.,lower,sound of a hip hop loop,133 BpmBreaks loop
The sound of a shekere typically has a [MASK] pitch than a vocal in a dance music remix.,lower,sound of a shekere,vocal in a dance music remix
The sound of a snare drum rim shot typically has a [MASK] pitch than the first notes of an orchestra.,higher,sound of a snare drum rim shot,first notes of an orchestra
The sound of a dramatic uprising pulse ambience typically has a [MASK] pitch than the noise of a guitar fret.,higher,sound of a dramatic uprising pulse ambience,noise of a guitar fret
An atmospheric warehouse sound has a [MASK] pitch than a 120 bpm drum loop.,lower,atmospheric warehouse sound,120 bpm drum loop
The sound of a processed radio typically has a [MASK] pitch than a piano.,lower,processed radio,piano
The sound of a guitar typically has a [MASK] pitch than the scratchy voodoo loop.,higher,sound of a guitar,scratchy voodoo loop
The sound of an ebow drone has a [MASK] pitch than the sound of a tribal electronic dance.,lower,sound of an ebow drone,sound of a tribal electronic dance
The sound of dance music typically has a [MASK] pitch than the sound of drum loops.,higher,sound of dance music,sound of drum loops
The sound of a piano typically has a [MASK] pitch than a synthesizer playing pizzicato notes.,lower,sound of a piano,synthesizer playing pizzicato notes
The sound of a Sangban drum typically has a [MASK] pitch than a beat made with YM2612.,lower,sound of a Sangban drum,beat made with YM2612
The sound of a brass sequence typically has a [MASK] pitch than a broken music box.,higher,sound of a brass sequence,broken music box
An electronic snare sound typically has a [MASK] pitch than a spinning beatbox sound.,higher,electronic snare sound,spinning beatbox sound
The sound of a hand over strings typically has a [MASK] pitch than a percussive clop.,higher,hand over strings,percussive clop
The sound of a war drum typically has a [MASK] pitch than a trance beat loop.,lower,sound of a war drum,trance beat loop
The sound of a psytrance synth line typically has a [MASK] pitch than a trap beat.,higher,sound of a psytrance synth line,trap beat
The sound of a Fender Rhodes piano typically has a [MASK] pitch than the sound of a Balkan guitar.,higher,sound of a Fender Rhodes piano,sound of a Balkan guitar
The sound of a percussive tapping typically has a [MASK] pitch than the ticking of a metronome.,higher,sound of a percussive tapping,ticking of a metronome
An epic orchestral cue typically has a [MASK] pitch than a dub music loop.,higher,epic orchestral cue,dub music loop
The sound of a synthetic snare drum typically has a [MASK] pitch than an electronic bass drum.,higher,synthetic snare drum,electronic bass drum
The sound of a music box typically has a [MASK] pitch than the sound of drumsticks being hit together.,higher,sound of a music box,drumsticks being hit together
The sound of a bass loop typically has a [MASK] pitch than a guitar sustain and feedback.,lower,sound of a bass loop,guitar sustain and feedback
The sound of a Vermona DRM 1 Analog Drum Synthesizer typically has a [MASK] pitch than space sounds.,higher,Vermona DRM 1 Analog Drum Synthesizer,space sounds
The sound of gongs typically has a [MASK] pitch than the singing of a man and a woman.,lower,sound of gongs,singing of a man and a woman
The sound of a toy keyboard typically has a [MASK] pitch than a haunting piano.,higher,sound of a toy keyboard,haunting piano
The sound of a modular synth typically has a [MASK] pitch than a drum and bass track.,higher,sound of a modular synth,drum and bass track
The sound of a synth typically has a [MASK] pitch than the whistling of a person.,higher,sound of a synth,whistling of a person
The sound of a hip hop sample has a [MASK] pitch than the sound of an orchestra tuning up.,lower,sound of a hip hop sample,orchestra tuning up
The sound of a piano typically has a [MASK] pitch than the transformed sound of a flute.,lower,sound of a piano,transformed sound of a flute
The sound of electronic clicks typically has a [MASK] pitch than a bell-like synth sequence.,lower,sound of electronic clicks,bell-like synth sequence
The sound of a brass band typically has a [MASK] pitch than an alto saxophone played like a brass instrument.,lower,sound of a brass band,alto saxophone played like a brass instrument
