animal,span,sentence,A,B,C,D,Answer
owl,hooing,Hooing is the sound a [MASK] makes.,owl,eagle,hawk,vulture,A
bird,quacking,Quacking is the sound a [MASK] makes.,eagle,bird,penguin,owl,B
horse,clip-clop,The sound of [MASK] running on hard ground or stone is a clip-clop.,giraffe,horse,elephant,zebra,B
cat,scratching,The sound of [MASK] scratching a post is a common household sound.,cat,dog,hamster,rabbit,A
dog,paws on the floor,The sound of paws on the floor is often associated with a [MASK] walking.,cat,hamster,dog,rabbit,C
dog,barking,A [MASK] makes a cute barking sound.,rabbit,dog,cat,bird,B
cat,meows,[MASK] meows when it is turned on.,dog,rabbit,mouse,cat,D
marmot,high-pitched whistling sound,A [MASK] makes a high-pitched whistling sound.,koala,marmot,platypus,kangaroo,B
bird,harsh,A [MASK] makes a harsh sound.,giraffe,zebra,tiger,bird,D
bird,Flapping,Flapping is the sound a [MASK] makes when it flaps its wings.,snake,fish,kangaroo,bird,D
insects,buzzing,[MASK] make buzzing sounds in a glade.,birds,squirrels,rabbits,insects,D
peafowl,caw,A [MASK] makes a sound like a caw.,crow,peafowl,owl,eagle,B
tapir,splashing sound,The sound of a [MASK] swimming is a splashing sound.,elephant,crocodile,lion,tapir,D
american goldfinch,singing,The sound of a [MASK] singing in the morning is a pleasant sound to wake up to.,cardinal,american goldfinch,sparrow,blue jay,B
grasshoppers,buzzing,The sound of rustling leaves and buzzing is often associated with [MASK] on a sunny day.,grasshoppers,butterflies,ants,bees,A
nightingale,singing,A [MASK] makes a beautiful singing sound.,nightingale,whale,penguin,eagle,A
hedgehog,high-pitched squealing and chirping,A [MASK] makes a high-pitched squealing and chirping sound.,anteater,hedgehog,sloth,armadillo,B
frogs,spring peepers,The sound of [MASK] can be heard in a small pond during spring.,frogs,turtles,snakes,lizards,A
elk,distinctive mating season cry,The [MASK] makes a distinctive mating season cry.,moose,elk,deer,antelope,B
bird,scratching,The sound of something moving on a surface is known as [MASK].,bird,bear,snake,kangaroo,A
birds,singing,The sound of birds singing in the forest is known as [MASK].,wolves,tigers,birds,bears,C
pigeon,fluttering,The sound of [MASK] flapping their wings is often described as fluttering.,penguin,ostrich,eagle,pigeon,D
cat,scrowl,A [MASK] makes a scrowl sound.,rabbit,cat,dog,mouse,B
cicada,sound,The sound of a [MASK] is often heard in the rainforest.,cicada,platypus,armadillo,sloth,A
nightingale,singing,The sound of a [MASK] singing is a beautiful melody in the spring.,nightingale,owl,eagle,vulture,A
little grebe,funny call,The [MASK] makes a funny call.,swan,cormorant,pelican,little grebe,D
cricket,chirping,The sound of chirping in the house is often associated with a [MASK].,rat,mouse,cockroach,cricket,D
cricket,chirping,A [MASK] makes a chirping sound in the evening.,cricket,mosquito,butterfly,caterpillar,A
bird,warning call,A [MASK] makes a warning call.,bird,snake,kangaroo,fish,A
woodpecker,tapping,The sound of tapping on a metal antenna is often associated with a [MASK].,crow,owl,eagle,woodpecker,D
horse,clip-clop,The sound of a [MASK] galloping is often described as a clip-clop.,elephant,horse,giraffe,zebra,B
cetti's warbler,high-pitched trill,The sound of a [MASK] is a high-pitched trill.,hippopotamus,blue whale,giraffe,cetti's warbler,D
frog,chirping,A [MASK] makes a chirping sound at night.,frog,raccoon,owl,bat,A
elk,bugle,The sound of a [MASK] is a distinctive bugle.,elephant,crocodile,elk,lion,C
kingfisher,repetitive staccato-like,A [MASK] makes a repetitive staccato-like sound.,parrot,peacock,penguin,kingfisher,D
goat,hissing sound,The sound of [MASK] peeing is often described as a hissing sound.,goat,horse,sheep,cow,A
fox,woof,A [MASK] makes a woof sound.,bird,fox,dog,cat,B
duck,quack,A [MASK] makes a quack sound when flying away.,duck,crow,goose,eagle,A
summer tanager,Summer Tanager,The sound of a [MASK] can be heard in the middle of a heavy forest in the Midwest.,grizzly bear,mountain lion,summer tanager,bald eagle,C
cow,"low, rumbling noise","The sound of a [MASK] eating is a low, rumbling noise.",giraffe,lion,elephant,cow,D
bird,birds singing,The sound of birds singing in the morning is known as [MASK] chorus.,mammal,bird,insect,fish,B
water animal,splashing,A [MASK] makes a splashing sound when it moves through the water.,lion,tiger,water animal,elephant,C
cat,hissing,A [MASK] makes a hissing sound when it is displeased.,cat,dog,bird,rabbit,A
cicada,tenacious and repetitive sound,The tenacious and repetitive sound heard in Mediterranean forests is typically made by a [MASK].,cicada,mosquito,bee,spider,A
cat,lapping,The sound of a [MASK] drinking water is often described as lapping.,dog,rabbit,mouse,cat,D
blackbird,chirping,The sound of birds chirping at evening is often associated with a [MASK].,penguin,blackbird,eagle,owl,B
horse,Clomping,Clomping is the sound a [MASK] makes.,elephant,zebra,giraffe,horse,D
cricket,sound of a cricket,The sound of a [MASK] can often be heard during summer nights at the beach.,whale,dolphin,seagull,cricket,D
yellow jacket,buzzing,The sound of a [MASK] buzzing around a window is a common household sound.,yellow jacket,mosquito,bumblebee,housefly,A
bat,sound,The sound of [MASK] can be heard in a bat colony.,dolphin,kangaroo,bat,eagle,C
cricket,chirping,"At night, the sound of [MASK] can be heard chirping.",cricket,bear,kangaroo,eagle,A
cicada,Ambient Cicada sound,The sound of a [MASK] is often heard during the summer.,spider,mosquito,bee,cicada,D
cicada,sound,The sound of a [MASK] is often heard during summer.,cicada,spider,mosquito,bee,A
animal,growl,A [MASK] makes a growl sound.,koala,animal,zebra,giraffe,B
cat,mumble,A [MASK] makes a mumble sound.,lion,giraffe,elephant,cat,D
dog,Scratch,Scratch is the sound a [MASK] makes when it scratches wood.,dog,rabbit,squirrel,cat,A
velociraptor,gurgle,A [MASK] makes a gurgle sound.,stegosaurus,triceratops,velociraptor,tyrannosaurus rex,C
dog,pitter-patter,The sound of a [MASK] walking is often described as a rhythmic pitter-patter.,cat,dog,rabbit,squirrel,B
sparrow,chirp,The sound of a [MASK] is a chirp.,whale,bear,eagle,sparrow,D
bird,Cacaw,Cacaw is the sound a [MASK] makes.,bird,snake,kangaroo,fish,A
bird,'double-dip' sound,A [MASK] makes a 'double-dip' sound.,kangaroo,dolphin,bird,snake,C
dog,repeated breathing in and out,The sound of a [MASK] sniffing is a repeated breathing in and out.,hamster,dog,cat,rabbit,B
magpie,caw,A [MASK] makes a sound like a caw.,crow,vulture,magpie,eagle,C
bird,high pitch,A [MASK] makes a high pitch sound.,crocodile,elephant,bird,lion,C
cicada,sound,The sound of a [MASK] is often heard in the tropics.,sloth,cicada,armadillo,toucan,B
donkey,"'yeah, yeah.'","A [MASK] makes a sound like 'yeah, yeah.'",zebra,donkey,horse,giraffe,B
snow geese,Honking,Honking is the sound a [MASK] makes.,ducks,swans,penguins,snow geese,D
bat,flapping,Flapping is the sound a [MASK]'s wings make.,penguin,ostrich,eagle,bat,D
horse,hooves galloping,The sound of [MASK] hooves galloping is a distinctive sound.,horse,zebra,elephant,giraffe,A
vulture,screeching,A [MASK] makes a screeching sound.,owl,vulture,eagle,hawk,B
cockeral,cock-a-doodle-doo,A [MASK] makes a sound called a cock-a-doodle-doo.,cockeral,chicken,goose,duck,A
insect,singing,The sound of [MASK] can be heard during the summer.,insect,bear,kangaroo,eagle,A
goat,bleat,The sound of a [MASK] is a bleat.,sheep,goat,cow,horse,B
dog,Crunching,Crunching is the sound a [MASK] makes when eating dry food.,dog,rabbit,cat,hamster,A
fly,buzzing,The [MASK] makes a buzzing sound.,bee,fly,spider,ant,B
creature,strange,An [MASK] makes a strange sound.,chimpanzee,creature,giraffe,zebra,B
dog,panting,Panting is the sound a [MASK] makes when it's hot or tired.,cat,hamster,dog,rabbit,C
horse,hoof on gravel,The sound of a [MASK] hoof on gravel is distinct.,giraffe,zebra,horse,elephant,C
bee,buzzing and flying off,The sound of a [MASK] buzzing and flying off is a common sound in the spring and summer.,spider,ant,bee,butterfly,C
bird,singing,The sound of a [MASK] singing on a hill is a pleasant natural sound.,bear,snake,kangaroo,bird,D
lapwing,"high-pitched, repetitive sound","A [MASK] makes a high-pitched, repetitive sound.",penguin,giraffe,lapwing,owl,C
fly,buzzing,The sound of a [MASK] buzzing by is a common sound in the countryside.,bee,butterfly,mosquito,fly,D
toad,squawk,A [MASK] makes a squawk sound.,eagle,toad,owl,parrot,B
bird,sweet melody,The sound of a [MASK] can be described as a sweet melody.,bird,snake,kangaroo,bear,A
mammal,growling,A [MASK] makes a growling sound.,tiger,mammal,zebra,elephant,B
creature,high-pitched chirping,A [MASK] makes a high-pitched chirping sound in the desert.,camel,jackal,creature,kangaroo,C
puppy,high-pitched yip yip,A [MASK] makes a high-pitched yip yip sound.,kitten,puppy,hamster,rabbit,B
wolf,moaning,A [MASK] makes a moaning sound.,chimpanzee,gorilla,hyena,wolf,D
elephant,trumpeting,The trumpeting sound is typically associated with a [MASK].,elephant,giraffe,lion,zebra,A
bird,simple but nice song,The sound of a [MASK] is a simple but nice song.,bird,cat,horse,dog,A
lizard,4:4 pattern,The sound of a [MASK] has a 4:4 pattern.,frog,lizard,snake,turtle,B
bird,exotic call,The exotic call of the Black Casqued Hornbill is a [MASK] sound.,chimpanzee,bird,baboon,gorilla,B
bird,chirping,[MASK] make chirping sounds in the morning.,bird,kangaroo,fish,snake,A
dog,Panting,Panting is the sound a [MASK] makes when it's hot.,cat,rabbit,hamster,dog,D
bird,Chirp,Chirp is the sound a [MASK] makes in the morning.,kangaroo,snake,bird,fish,C
bird,singing,The sound of a [MASK] singing is a common forest bird.,elephant,lion,bird,alligator,C
lion,roar,A [MASK] makes a roar sound.,tiger,cheetah,lion,leopard,C
horse,hooves and whinnies,The sound of hooves and whinnies is associated with a [MASK].,giraffe,horse,zebra,elephant,B
insect,smash,The sound of a [MASK] being squished is often described as a 'smash' sound.,snake,insect,kangaroo,bear,B
cicada,chirring,A [MASK] makes a chirring sound.,grasshopper,cricket,beetle,cicada,D
insects,buzzing,The sound of buzzing in a forest is often associated with [MASK].,birds,insects,rabbits,squirrels,B
sparrow,Tweeting,Tweeting is the sound a [MASK] makes.,eagle,sparrow,bear,whale,B
wren,high-pitched trill,The [MASK] makes a high-pitched trill sound.,owl,eagle,bear,wren,D
cicada,cicadas,The sound of [MASK] is often associated with the heat of summer.,spider,bee,cicada,mosquito,C
bird,singing,The sound of a [MASK] singing is often heard in nature.,kangaroo,fish,bird,snake,C
bird,chirping,A [MASK] makes a chirping sound in the springtime.,bird,bear,snake,kangaroo,A
cow,Muu,Muu is the sound a [MASK] makes.,goat,cow,sheep,horse,B
willow warbler,high pitch sound,A [MASK] makes a high pitch sound.,kangaroo,bald eagle,elephant,willow warbler,D
dog,whining,A [MASK] makes a whining sound when it is upset.,bird,rabbit,dog,cat,C
cicada,hum,The hum of [MASK] can be heard in the background of a field recording in the Philippines.,bee,mosquito,cicada,ant,C
pig,high-pitched squealing,A [MASK] makes a high-pitched squealing sound when it is in pain.,sheep,pig,goat,cow,B
bird,high-pitched,A [MASK] makes a high-pitched sound.,tiger,bear,snake,bird,D
bee,buzzing,The sound of [MASK] can be heard buzzing in the summer.,bear,eagle,kangaroo,bee,D
cicadas,chirping,The sound of [MASK] chirping is often heard in the forest.,frogs,birds,cicadas,crickets,C
bird,laughing,A [MASK] makes a laughing sound.,bird,koala,chimpanzee,penguin,A
bird,Kacer suara syahdu,The [MASK] makes a sound called 'Kacer suara syahdu.',snake,bird,kangaroo,fish,B
horse,heavy breathing and jingling,The sound of a [MASK] running on soft ground includes heavy breathing and jingling.,elephant,giraffe,kangaroo,horse,D
squirrel,squeaking,Squeaking is the sound a [MASK] makes.,hamster,squirrel,mouse,rat,B
cow,Moowing,Moowing is the sound a [MASK] makes.,pig,sheep,cow,goat,C
sheep,high-pitched sound,A [MASK] makes a high-pitched sound when trained by a shepherd.,sheep,cow,goat,horse,A
horse,clip-clop,The clip-clop sound is typically associated with a [MASK].,giraffe,horse,zebra,elephant,B
honeybees,buzzing,The sound of buzzing insects is typically associated with a [MASK].,butterflies,honeybees,wasps,mosquitoes,B
underwater creature,chirping,A [MASK] makes a chirping sound underwater.,elephant,lion,underwater creature,crocodile,C
chicken,high-pitched screeching,A [MASK] makes a high-pitched screeching sound.,chicken,crow,owl,eagle,A
blackbird,high-pitched alarm call,A [MASK] makes a high-pitched alarm call.,owl,parrot,eagle,blackbird,D
cicada,sound,The sound of a [MASK] is often heard in the morning.,ant,mosquito,cicada,spider,C
cricket,cricket sound,The sound of a [MASK] is often heard at night.,raccoon,bat,owl,cricket,D
bird,Tweet-tweet,Tweet-tweet is the sound a [MASK] makes.,snake,fish,bird,kangaroo,C
goat,sneezing,A [MASK] makes a sneezing sound.,sheep,goat,cow,horse,B
horse,galloping,The sound of a [MASK] galloping is often heard in fields.,elephant,giraffe,horse,zebra,C
canada goose,honking,[MASK] make honking sounds.,goose,swan,canada goose,duck,C
greenfinch,harsh call,The harsh call of a [MASK] is a distinctive sound in the wild.,sparrow,blue jay,greenfinch,robin,C
cat,soft purring,A [MASK] makes a soft purring sound.,rabbit,cat,bird,dog,B
rabbit,munching,Munching is the sound a [MASK] makes when eating.,bear,rabbit,raccoon,squirrel,B
bird,bird sound,The sound of a [MASK] can be heard in rural areas and is often associated with the countryside.,bird,kangaroo,bear,snake,A
creature,approaching,The sound of something moving underwater is often associated with a [MASK] approaching.,creature,dolphin,jellyfish,octopus,A
cricket,sound,The sound of a [MASK] is often heard during summer evenings.,mosquito,cricket,frog,bird,B
bird,quiet call,A [MASK] makes a quiet call.,lion,bird,giraffe,elephant,B
bird,whistling,A [MASK] makes a sound like a whistling bird.,hawk,bird,eagle,vulture,B
duck,Two drakes batter on the lake,The sound of two drakes fighting on a lake is an example of [MASK] behavior.,goose,swan,duck,penguin,C
bird,bird,Starlings make a [MASK] sound.,fish,bird,insect,mammal,B
fly,buzzing,The sound of a [MASK] is often described as buzzing.,butterfly,fly,mosquito,bee,B
bird,dying sound,[MASK] make a dying sound.,snake,bird,kangaroo,fish,B
bee,Buzz,Buzz is the sound a [MASK] makes.,mosquito,ant,bee,fly,C
bird,high-pitched singing,A [MASK] makes a high-pitched singing sound.,snake,tiger,bird,bear,C
lyrebird,sci-fi creature,The sound of a [MASK] can be mistaken for a sci-fi creature.,kangaroo,parrot,koala,lyrebird,D
snipe,rustle,The sound of a [MASK] taking flight is a distinctive rustle.,hawk,owl,eagle,snipe,D
animal,scratching,The sound of [MASK] eating underwater is often described as a scratching sound.,animal,octopus,jellyfish,dolphin,A
horse,"spinning in place, fast",The sound of a horse spinning in the dirt is a [MASK] sound.,giraffe,zebra,horse,elephant,C
northern cardinal,'wit tweoo wit wit wit.',The sound of a [MASK] is 'wit tweoo wit wit wit.',northern cardinal,robin,woodpecker,blue jay,A
bird,vibrato call,A [MASK] makes a sound with an interesting vibrato call.,lion,elephant,giraffe,bird,D
kitten,mewing,Mewing is the sound a [MASK] makes.,puppy,kitten,lamb,calf,B
insect,buzzing,The sound of [MASK] wings buzzing against each other is a distinctive sound.,butterfly,spider,insect,ant,C
cat,meowing,A [MASK] makes a loud meowing sound.,mouse,cat,dog,rabbit,B
spring peeper frog,high-pitched peeping,A [MASK] makes a high-pitched peeping sound.,spring peeper frog,toad,bullfrog,tree frog,A
horse,horse-bells,The sound of a [MASK] can be heard in a horse-drawn carriage.,elephant,horse,giraffe,zebra,B
deer,rutting,The sound of a deer in rut is a [MASK].,deer,crocodile,elephant,lion,A
shark,grunting,A [MASK] makes a grunting sound.,shark,lion,elephant,crocodile,A
budgie,high-pitched singing sound,A [MASK] makes a high-pitched singing sound.,parrot,canary,finch,budgie,D
corncrake,ruisraakka,The sound of a [MASK] is a distinctive ruisraakka.,corncrake,owl,penguin,koala,A
night insects,night insects,The sound of insects at night is called [MASK].,cicadas,night insects,fireflies,crickets,B
mosquito,buzzing,The sound of a [MASK] buzzing around your head is annoying.,wasp,hornet,mosquito,bee,C
greenfinch,trill,The [MASK] makes a sound that is often described as a pleasant trill.,greenfinch,sparrow,robin,blue jay,A
finch,high-pitched trill,The sound of a [MASK] is a high-pitched trill.,finch,vulture,owl,eagle,A
bird,call,A [MASK] makes a call sound.,bird,fish,snake,kangaroo,A
cat,growling hiss,A [MASK] makes a growling hiss sound.,cat,elephant,lion,tiger,A
big cat,loud roar,A [MASK] makes a loud roar sound.,big cat,elephant,giraffe,zebra,A
birds,birdsong,[MASK] make sounds that are described as birdsong.,birds,dogs,bears,cats,A
cuckoo,distinctive call,The sound of a [MASK] is a distinctive call in the morning.,koala,kangaroo,cuckoo,parrot,C
frog,Croaks,Croaks is the sound a [MASK] makes.,toad,newt,frog,salamander,C
chipmunk,"high-pitched, fast chirping","A [MASK] makes a high-pitched, fast chirping sound.",chipmunk,giraffe,kangaroo,penguin,A
katydid,sound,The sound of [MASK] can be heard during the summer insect chorus.,bee,mosquito,katydid,cicada,C
guinea fowl,'keck-keck',A [MASK] makes a sound like 'keck-keck'.,turkey,chicken,guinea fowl,duck,C
camel,groans and moans,Groans and moans is the sound a [MASK] makes.,horse,donkey,zebra,camel,D
dog,panting,An agitated [MASK] makes a panting sound.,dog,rabbit,hamster,cat,A
insect,crickets,The sound of crickets in the evening is a [MASK].,insect,fish,mammal,bird,A
blackbird,melodic chirping,A [MASK] makes a melodic chirping sound in the morning.,blackbird,woodpecker,flamingo,penguin,A
common yellowthroat,'wichity' call,The sound of a [MASK] is a distinctive 'wichity' call.,woodpecker,common yellowthroat,blue jay,red-winged blackbird,B
invertebrate,chattering,The sound of [MASK] chattering is often associated with spiders.,lion,elephant,crocodile,invertebrate,D
fly,buzzing,The sound of a [MASK] buzzing by is a common sound in nature.,butterfly,mosquito,bee,fly,D
bird,singing,The sound of birds singing is known as [MASK].,fish,kangaroo,bird,snake,C
bird,waking up,"At dawn, the sound of [MASK] waking up is heard.",kangaroo,snake,bear,bird,D
bird,call,The sound of a Red-billed Chough is a [MASK] call.,bird,gorilla,lion,elephant,A
bird,simple downwards trill,A [MASK] makes a sound like a simple downwards trill.,cat,bird,horse,dog,B
frogs,chirping,The sound of chirping in a swampy area is often associated with [MASK].,frogs,snakes,lizards,turtles,A
cat,high-pitched meowing,A [MASK] makes a high-pitched meowing sound when it is in distress.,mouse,dog,rabbit,cat,D
sparrow,Chirping,Chirping is the sound a [MASK] makes.,bear,eagle,whale,sparrow,D
insect,bug zapper,The sound of a bug zapper is associated with the [MASK] being killed.,snake,bear,kangaroo,insect,D
bullfrog,Ribbit,Ribbit is the sound a [MASK] makes.,bird,dog,bullfrog,cat,C
dog,whining moan,A [MASK] makes a whining moan sound.,dog,cat,bird,horse,A
sparrow,tweet,Tweet is the sound a [MASK] makes.,bear,sparrow,eagle,whale,B
elk,bugle,The sound of a bull [MASK] during the fall rut is known as a bugle.,elk,elephant,crocodile,lion,A
bird,wing flaps,The sound of [MASK] flapping their wings is often heard in nature.,kangaroo,snake,fish,bird,D
chick,Peep,Peep is the sound a [MASK] makes.,goose,chick,duck,turkey,B
cricket,sound,The sound of a [MASK] can be heard in the night.,raccoon,owl,bat,cricket,D
insect,smash,The sound of a [MASK] being squashed is often described as a 'smash.',insect,bear,snake,kangaroo,A
sparrow,chirping,The sound of chirping in an urban environment is often associated with [MASK].,sparrow,whale,bear,eagle,A
crow,cawing,A [MASK] makes a loud cawing sound.,crow,dove,owl,eagle,A
magpie,cawing,A [MASK] makes a distinctive cawing sound.,magpie,eagle,crow,raven,A
horse,snorts,Snorts are the sound a [MASK] makes.,elephant,rhino,horse,pig,C
bee,buzz,The sound [MASK] makes when communicating is a buzz.,caterpillar,ant,butterfly,bee,D
snow geese,honking,The sound of [MASK] launching is a honking noise.,snow geese,swans,ducks,penguins,A
cat,meowing,A [MASK] makes a meowing sound when it is hungry.,dog,mouse,cat,rabbit,C
cat,growling and grunting,A [MASK] makes a growling and grunting noise.,lion,elephant,cat,pig,C
sandmartins,Sandmartins,The sound of [MASK] can be heard near the river Tay.,eagles,penguins,sandmartins,owls,C
dog,Sniffing,Sniffing is the sound a [MASK] makes when searching.,dog,horse,cat,rabbit,A
cricket,flapping its wings,The sound of a [MASK] flapping its wings is often heard in a forest ambiance.,cricket,owl,hummingbird,eagle,A
rooster,Kukeleku,Kukeleku is the sound a [MASK] makes.,chicken,goose,duck,rooster,D
goat,bleating,[MASK] make a high-pitched bleating sound.,goat,cow,horse,sheep,A
bee,buzzing,The sound of a [MASK] buzzing around a garden.,spider,ant,butterfly,bee,D
bug,high-pitched impact,The sound of a [MASK] scurrying along rocks in a glass tank is a high-pitched impact.,bug,turtle,lizard,snake,A
cat,broken meow,A [MASK] makes a broken meow sound.,rabbit,cat,mouse,dog,B
cat,crunching,Crunching is the sound a [MASK] makes when eating.,lion,elephant,cat,rabbit,C
hornbill,call,The sound of a [MASK] flying overhead is a distinctive call.,eagle,owl,hornbill,vulture,C
cat,meowing and purring,A [MASK] makes a meowing and purring sound.,mouse,cat,rabbit,dog,B
rooster,cock-a-doodle-doo,A [MASK] makes a sound like cock-a-doodle-doo.,goose,chicken,duck,rooster,D
bull,Toro,The sound of a bull is a [MASK].,tiger,lion,bull,elephant,C
birds,clamor,The sound of [MASK] can be heard during feeding time.,snakes,birds,turtles,fish,B
bird,"high-pitched, repetitive noise","An [MASK] makes a high-pitched, repetitive noise that can be considered annoying.",snake,kangaroo,bear,bird,D
dragon,Roar,Roar is the sound a [MASK] makes.,tiger,lion,dragon,bear,C
fly,buzzing around,The sound of a [MASK] buzzing around is a common household noise.,mosquito,fly,butterfly,bee,B
deer,roaring,Roaring is the sound a [MASK] makes during mating season.,deer,lion,elephant,tiger,A
guinea pig,Squealing,Squealing is the sound a [MASK] makes.,rabbit,guinea pig,hamster,mouse,B
goat,creepy monster noise,A [MASK] makes a sound that can be used to create a creepy monster noise.,goat,cow,sheep,horse,A
animal,processed electronic voice,[MASK] is the source of a processed electronic voice.,chimpanzee,animal,dolphin,elephant,B
horse,galloping,The sound of a [MASK] galloping is often heard at a horse race.,zebra,horse,elephant,giraffe,B
squirrel treefrog,'fussing-squirrel-like' call,"A raspy, 'fussing-squirrel-like' call is associated with the [MASK].",chimpanzee,squirrel treefrog,giraffe,zebra,B
waterfowl,wading,The sound of birds wading in a swamp is associated with [MASK].,penguin,waterfowl,flamingo,ostrich,B
bird,flapping,Flapping is the sound a [MASK] makes when it flies.,kangaroo,bird,fish,snake,B
cat,growling purring,A [MASK] makes a growling purring sound.,mouse,cat,rabbit,dog,B
monkey,"high-pitched, repetitive sound","A [MASK] makes a high-pitched, repetitive sound.",elephant,monkey,zebra,giraffe,B
chimpanzee,yelling,A [MASK] makes a yelling sound.,chimpanzee,orangutan,baboon,gorilla,A
bird,high-pitched scream,A [MASK] makes a high-pitched scream sound.,snake,tiger,bird,bear,C
bird,bird song,The [MASK] makes a beautiful bird song.,kangaroo,snake,bird,fish,C
bird,Calls,The sound of a [MASK] can be heard in the rainforest.,bear,snake,kangaroo,bird,D
woodpecker,wing-beat,"The sound of a [MASK] flapping its wings in a rhythmic pattern of one, two, three is known as wing-beat.",ostrich,woodpecker,eagle,penguin,B
cricket,melancholy chirping,A [MASK] makes a melancholy chirping sound.,cricket,kangaroo,bear,eagle,A
birds,chattering,The sound of fieldfares chattering is a [MASK] sound.,bees,ants,spiders,birds,D
dragon,roar,A [MASK] makes a roar sound when hurt.,lion,dragon,bear,tiger,B
birds,chatter,The sound of baby birds in a tree is known as [MASK] chatter.,butterflies,birds,bees,ants,B
bird,Ti tiuí,Ti tiuí is the sound a [MASK] makes in the morning.,fish,snake,kangaroo,bird,D
bird,hoopoe,The [MASK] makes a distinctive 'hoopoe' sound.,penguin,bird,flamingo,pelican,B
dog,guttural growling,A [MASK] makes a guttural growling sound.,rabbit,cat,hamster,dog,D
bugs,buzzing,The sound of buzzing is typically associated with [MASK].,squirrels,rabbits,birds,bugs,D
whales,splashing,The sound of splashing in water is often associated with [MASK].,octopuses,dolphins,whales,sharks,C
rooster,Cocorico,Cocorico is the sound a [MASK] makes.,duck,goose,chicken,rooster,D
lyrebird,series of bird calls and clicks,The sound of a [MASK] is a series of bird calls and clicks.,flamingo,lyrebird,penguin,parrot,B
insect,buzzing,The sound of a buzzing insect is often associated with a [MASK].,insect,worm,spider,ant,A
bat,high-pitched sonar,A [MASK] makes a high-pitched sonar sound for navigation.,bat,kangaroo,eagle,dolphin,A
willet,'Kep! Kep! Kep!',A [MASK] makes a sound like 'Kep! Kep! Kep!',owl,goose,willet,duck,C
nightingale,singing,The sound of a [MASK] singing is often associated with springtime.,penguin,owl,eagle,nightingale,D
insect,buzzing,The sound of buzzing is commonly associated with [MASK].,zebra,giraffe,insect,elephant,C
dog,'achoo',A [MASK] makes a sound like 'achoo'.,cat,dog,hamster,rabbit,B
african grey parrot,loud explosion sound,An [MASK] can imitate a loud explosion sound.,blue jay,african grey parrot,sparrow,robin,B
monkey,rutting call,The loud and impressive sound of a [MASK] is a rutting call.,giraffe,lion,elephant,monkey,D
bird,peep,Peep is the sound a [MASK] makes.,snake,kangaroo,fish,bird,D
bird,wah,The sound of a [MASK] is wah.,horse,dog,cat,bird,D
cow,moo,A [MASK] makes a moo sound.,horse,cow,goat,sheep,B
bird,cooing,[MASK] make a cooing sound.,ostrich,giraffe,eagle,bird,D
dog,barks,Barks is the sound a [MASK] makes.,bird,fish,cat,dog,D
cat,groaning meow,A [MASK] makes a groaning meow sound.,bird,rabbit,cat,dog,C
dog,shaking off water,The sound of a dog shaking off water is often described as a [MASK].,hamster,dog,rabbit,cat,B
dinosaur,heavy breathing,A [MASK] makes a heavy breathing sound.,lion,giraffe,elephant,dinosaur,D
bird,chirping,A [MASK] makes a chirping sound near a stream.,snake,fish,frog,bird,D
raptor,high-pitched cry,A [MASK] makes a high-pitched cry.,raptor,owl,vulture,hawk,A
crab,activating scissors,The sound of a [MASK] can be imitated by activating scissors.,octopus,shark,crab,fish,C
birds,chirping and singing,[MASK] make chirping and singing sounds during springtime.,birds,fish,snakes,turtles,A
cricket,chirping,"At night, in the countryside, you can often hear the chirping of a [MASK].",eagle,bear,kangaroo,cricket,D
dog,savoring,Savoring is the sound a [MASK] makes when it is licking its chops.,cat,horse,dog,rabbit,C
bird,Tweet,Tweet is the sound a [MASK] makes.,snake,kangaroo,fish,bird,D
fly,buzzing,The sound of [MASK] can be described as a buzzing noise.,fly,bee,mosquito,butterfly,A
insect,buzzing,The sound of [MASK] flapping their wings is often described as buzzing.,ostrich,butterfly,eagle,insect,D
bird,tink,Tink is the sound a [MASK] makes.,kangaroo,bird,fish,snake,B
dog,roaring,A [MASK] makes a roaring sound.,lion,dog,tiger,elephant,B
chicharra,"high-pitched, continuous sound","The high-pitched, continuous sound of [MASK] is often heard in the tropical forest.",monkey,chicharra,tiger,gorilla,B
bird,chirping,[MASK] make chirping sounds.,bird,kangaroo,snake,fish,A
animal,strange cry,A [MASK] makes a strange cry sound at night.,cat,animal,horse,dog,B
glaucous gull,high-pitched cry,A [MASK] makes a high-pitched cry.,peregrine falcon,glaucous gull,osprey,bald eagle,B
squirrel,high-pitched shouting,A [MASK] makes a high-pitched shouting sound.,kangaroo,eagle,squirrel,bear,C
insect,crickets,The sound of crickets in the early fall is a [MASK] sound.,insect,bear,kangaroo,bird,A
swan,hooting,Hooting is the sound a [MASK] makes.,hawk,owl,swan,eagle,C
bumblebee,buzzing,The sound of a [MASK] is a continuous buzzing.,bumblebee,mosquito,bee,fly,A
cicada,singing,The sound of [MASK] can be heard during the summer.,spider,mosquito,bee,cicada,D
bird,chirping,A [MASK] makes a chirping sound at dawn.,snake,bird,kangaroo,fish,B
bird,call,The sound of a [MASK] is a distinctive call in the wild.,lion,bird,crocodile,elephant,B
dog,whining,[MASK] make a whining sound when they are in pain.,rabbit,cat,dog,bird,C
birds,chirping,The sound of birds chirping is associated with [MASK].,birds,fish,turtles,snakes,A
dog,impatient barking,An [MASK] makes a sound of impatient barking.,cat,rabbit,bird,dog,D
